team,wyId,wyscout_name,wyscout_fine,wyscout_coarse,sportradar_id,sportradar_name,sportradar_position,sportradar_coarse,match
FCSB,551713,S. Târnovanu,GK,GK,sr:player:1372522,"Tarnovanu, Stefan",goalkeeper,GK,True
FCSB,511261,D. Bîrligea,ST,FWD,sr:player:1864682,"Birligea, Daniel",forward,FWD,True
FCSB,509301,J. Dawa,CB,DEF,,,,,False
FCSB,38598,D. Alibec,ST,FWD,,,,,False
FCSB,83616,V. Crețu,FB,DEF,sr:player:44478,"Cretu, Valentin",defender,DEF,True
FCSB,83575,V. Chiricheș,DM,MID,sr:player:69295,"Chiriches, Vlad",defender,DEF,False
FCSB,128732,R. Radunović,FB,DEF,sr:player:117128,"Radunovic, Risto",defender,DEF,True
FCSB,20650,J. Cisotti,AM,MID,sr:player:151076,"Cisotti, Juri",forward,FWD,False
FCSB,262984,F. Tănase,AM,MID,sr:player:537032,"Tanase, Florin",forward,FWD,False
FCSB,278515,M. Thiam,ST,FWD,sr:player:801158,"Thiam, Mamadou",forward,FWD,True
FCSB,402409,D. Olaru,AM,MID,sr:player:893750,"Olaru, Darius",midfielder,MID,True
FCSB,481134,D. Politic,AM,MID,,,,,False
FCSB,537093,D. Miculescu,AM,MID,sr:player:1321020,"Miculescu, David",forward,FWD,False
FCSB,136045,D. Graovac,CB,DEF,sr:player:94815,"Graovac, Daniel",defender,DEF,True
FCSB,277597,M. Edjouma,DM,MID,,,,,False
FCSB,363609,M. Popescu,CB,DEF,sr:player:813348,"Popescu, Mihai",defender,DEF,True
FCSB,444594,S. Ngezana,CB,DEF,sr:player:1323154,"Ngezana, Siyabonga",defender,DEF,True
FCSB,1047195,M. Popa,GK,GK,sr:player:2765371,"Popa, David",forward,FWD,False
FCSB,583627,João Paulo,FB,DEF,,,,,False
FCSB,500774,André Duarte,CB,DEF,sr:player:1359044,"Duarte, Andre",defender,DEF,True
FCSB,433693,A. Şut,DM,MID,,,,,False
FCSB,875076,I. Cercel,FB,DEF,sr:player:2639175,"Cercel, Ionut",defender,DEF,True
Dinamo Bucureşti,866488,Alexandru Rosca,GK,GK,sr:player:2395735,"Rosca, Alexandru",goalkeeper,GK,True
Dinamo Bucureşti,807849,N. Stoioanov,CB,DEF,,,,,False
Dinamo Bucureşti,747286,C. Mihai,DM,MID,sr:player:1096538,"Mihai, Cristian Petrisor",midfielder,MID,True
Dinamo Bucureşti,735669,A. Musi,WF,FWD,sr:player:2136792,"Musi, Alexandru",midfielder,MID,False
Dinamo Bucureşti,696185,A. Caragea,WF,FWD,sr:player:2582273,"Caragea, Adrian Iulian",forward,FWD,True
Dinamo Bucureşti,619740,C. Cîrjan,AM,MID,sr:player:1096544,"Cirjan, Catalin",midfielder,MID,True
Dinamo Bucureşti,551419,Alberto Soro,WF,FWD,sr:player:1554815,"Soro, Alberto",midfielder,MID,False
Dinamo Bucureşti,68126,G. Milanov,WF,FWD,sr:player:78201,"Milanov, Georgi",midfielder,MID,False
Dinamo Bucureşti,28293,D. Epassy,GK,GK,sr:player:362758,"Epassy, Devis",goalkeeper,GK,True
Dinamo Bucureşti,136564,C. Kyriakou,DM,MID,,,,,False
Dinamo Bucureşti,8109,E. Gnahoré,DM,MID,sr:player:218298,"Gnahore, Eddy",midfielder,MID,True
Dinamo Bucureşti,234533,S. Perica,ST,FWD,,,,,False
Dinamo Bucureşti,302088,D. Armstrong,WF,FWD,sr:player:552866,"Armstrong, Danny",midfielder,MID,False
Dinamo Bucureşti,426771,M. Sivis,FB,DEF,sr:player:1437866,"Sivis, Maxime",defender,DEF,True
Dinamo Bucureşti,421354,K. Boateng,CB,DEF,sr:player:1047975,Kennedy Boateng,defender,DEF,True
Dinamo Bucureşti,433613,A. Constantin Pop,ST,FWD,,,,,False
Dinamo Bucureşti,503199,R. Opruț,FB,DEF,sr:player:1128451,"Oprut, Raul",defender,DEF,True
